Brand,Model,Variant,Battery Capacity,Battery Type,Range,Motor Power,Charging Time,Max Speed,Image,Cloudinary_Image
Honri,Ve,2.0,18.5 kWh,Ternary Lithium Battery,200 km,47 HP,7.0 Hours,100 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10284/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939000/car_database/honri_ve_2.0_image.jpg
Honri,Ve,3.0,29.9 kWh,Lithium Iron Phosphate,300 km,47 HP,7.0 Hours,100 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/10284/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939002/car_database/honri_ve_3.0_image.jpg
BYD,Atto 3,Advance,49.92 kWh,Blade Battery,410 km,201 HP,9.0 Hours,160 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/16804/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939003/car_database/byd_atto_3_advance_image.jpg
MG,ZS EV,MCE Essence,51.1 kWh,Lithium,360 km,174 HP,5.0 Hours,180 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/7572/original/cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939004/car_database/mg_zs_ev_mce_essence_image.jpg
MG,ZS EV,MCE Long Range,72.6 kWh,Lithium,505 km,154 HP,8.0 Hours,180 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/7572/original/cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939006/car_database/mg_zs_ev_mce_long_range_image.jpg
Audi,e-tron,50 quattro 230 kW,60.0 kWh,Lithium-Ion,300 km,313 HP,7.0 Hours,190 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/5993/original/E-Tron_PNG.png,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939007/car_database/audi_e-tron_50_quattro_230_kw_image.jpg
Audi,e-tron,50 quattro Sportback 230kW,95.0 kWh,Lithium Ion,300 km,408 HP,8.0 Hours,190 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/5993/original/E-Tron_PNG.png,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939008/car_database/audi_e-tron_50_quattro_sportback_230kw_image.jpg
Audi,e-tron,55 quattro 300kW,95.0 kWh,Lithium Ion,417 km,402 HP,11.0 Hours,200 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/5993/original/E-Tron_PNG.png,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939009/car_database/audi_e-tron_55_quattro_300kw_image.jpg
Audi,e-tron,55 quattro Sportback 300kW,95.0 kWh,Lithium-Ion,425 km,408 HP,9.0 Hours,200 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/5993/original/E-Tron_PNG.png,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939010/car_database/audi_e-tron_55_quattro_sportback_300kw_image.jpg
Hyundai,Ioniq 5,EV,72.6 kWh,Lithium-ion,430 km,305 HP,8.0 Hours,200 KM/H,https://cache1.pakwheels.com/system/car_generation_pictures/8966/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939011/car_database/hyundai_ioniq_5_ev_image.jpg
Audi,e-tron GT,RS,93.4 kWh,Liquid Lithium Ion,401 km,637 HP,5.1 Hours,250 KM/H,https://cache4.pakwheels.com/system/car_generation_pictures/5519/original/audi-gt-etron.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939013/car_database/audi_e-tron_gt_rs_image.jpg
BYD,Seal,Dynamic,61.44 kWh,Blade Battery,510 km,201 HP,10.0 Hours,220 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/8807/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939014/car_database/byd_seal_dynamic_image.jpg
BYD,Seal,Premium,82.56 kWh,Blade Battery,650 km,280 HP,10.0 Hours,220 KM/H,https://cache2.pakwheels.com/system/car_generation_pictures/8807/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939016/car_database/byd_seal_premium_image.jpg
