Brand,Model,Variant,Engine Type,Horse Power,Torque,Max Speed,Mileage City,Fuel Tank Capacity,Mileage Highway,Displacement,Image,Cloudinary_Image
Hyundai,Tucson,Hybrid Smart,Hybrid,232 HP @ 5500 RPM (Combined),367 Nm @ 4500 RPM (Combined),220 KM/H,16 KM/L,52 L,17 KM/L,1590 cc,https://cache3.pakwheels.com/system/car_generation_pictures/8720/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952215/car_database/hyundai_tucson_hybrid_smart_image.jpg
Hyundai,Tucson,Hybrid Signature,Hybrid,232 HP @ 5500 RPM (Combined),367 Nm @ 4500 RPM (Combined),220 KM/H,16 KM/L,52 L,14 KM/L,1590 cc,https://cache3.pakwheels.com/system/car_generation_pictures/8720/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952216/car_database/hyundai_tucson_hybrid_signature_image.jpg
Haval,H6,HEV,Hybrid,240 HP @ 5500 RPM (Combined),530 Nm @ 4400 RPM (Combined),180 KM/H,18 KM/L,55 L,15 KM/L,1499 cc,https://cache4.pakwheels.com/system/car_generation_pictures/8796/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952217/car_database/haval_h6_hev_image.jpg
Hyundai,Elantra,Hybrid,Hybrid,139 HP @ 5700 RPM (Combined),264 Nm @ 4000 RPM (Combined),200 KM/H,22 KM/L,42 L,24 KM/L,1580 cc,https://cache1.pakwheels.com/system/car_generation_pictures/9800/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952219/car_database/hyundai_elantra_hybrid_image.jpg
MG,HS,Hybrid+,Hybrid,221 HP @ 5500 RPM (Combined),340 Nm @ 4300 RPM (Combined),190 KM/H,17 KM/L,55 L,23 KM/L,1496 cc,https://cache4.pakwheels.com/system/car_generation_pictures/17082/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952220/car_database/mg_hs_hybrid%2B_image.jpg
Toyota,Vitz,GR,Hybrid,72 HP @ 4800 RPM (Combined),111 Nm @ 4400 RPM (Combined),180 KM/H,32 KM/L,36 L,34 KM/L,1496 cc,https://cache3.pakwheels.com/system/car_generation_pictures/17354/original/Cover_%2845%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952222/car_database/toyota_vitz_gr_image.jpg
Toyota,Vitz,Hybrid F 1.5,Hybrid,72 HP @ 4800 RPM (Combined),111 Nm @ 4400 RPM (Combined),180 KM/H,32 KM/L,36 L,34 KM/L,1496 cc,https://cache3.pakwheels.com/system/car_generation_pictures/17354/original/Cover_%2845%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952223/car_database/toyota_vitz_hybrid_f_1.5_image.jpg
Toyota,Vitz,Hybrid U 1.5,Hybrid,72 HP @ 4800 RPM (Combined),111 Nm @ 4400 RPM (Combined),180 KM/H,32 KM/L,36 L,34 KM/L,1496 cc,https://cache3.pakwheels.com/system/car_generation_pictures/17354/original/Cover_%2845%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952224/car_database/toyota_vitz_hybrid_u_1.5_image.jpg
Toyota,Corolla Cross,1.8 HEV,Hybrid,72 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,18 KM/L,36 L,16 KM/L,1798 cc,https://cache2.pakwheels.com/system/car_generation_pictures/7650/original/cockpit.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952225/car_database/toyota_corolla_cross_1.8_hev_image.jpg
Toyota,Corolla Cross,1.8 HEV X,Hybrid,72 HP @ 5200 RPM (Combined),142 Nm @ 3600 RPM (Combined),180 KM/H,17 KM/L,36 L,15 KM/L,1798 cc,https://cache2.pakwheels.com/system/car_generation_pictures/7650/original/cockpit.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952227/car_database/toyota_corolla_cross_1.8_hev_x_image.jpg
