Brand,Model,Variant,Engine Type,Horse Power,Torque,Max Speed,Pure Electric Range,Fuel Tank Capacity,Combined Mileage,Combined Fuel Economy,Image,Cloudinary_Image
Haval,H6,PHEV,PHEV,360 HP @ 5500 RPM (Combined),760 Nm @ 4400 RPM (Combined),200 KM/H,100 km,55 L,1000 km,-,https://cache4.pakwheels.com/system/car_generation_pictures/8796/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939193/car_database/haval_h6_phev_image.jpg
MG,HS,Super Hybrid,PHEV,296 HP @ 5500 RPM (Combined),350 Nm @ 4300 RPM (Combined),190 KM/H,135 km,55 L,1100 km,-,https://cache4.pakwheels.com/system/car_generation_pictures/17082/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939194/car_database/mg_hs_super_hybrid_image.jpg
Mercedes,Benz S Class,S 580 e 4MATIC,PHEV,367 HP @ 6000 RPM (Combined),500 Nm @ 4000 RPM (Combined),250 KM/H,80 km,67 L,800 km,-,https://cache3.pakwheels.com/system/car_generation_pictures/9225/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939195/car_database/mercedes_benz_s_class_s_580_e_4matic_image.jpg
Jaecoo,J7,Premium,PHEV,342 HP @ 6000 RPM (Combined),525 Nm @ 4000 RPM (Combined),180 KM/H,90 km,60 L,1200 km,-,https://cache3.pakwheels.com/system/car_generation_pictures/10334/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939197/car_database/jaecoo_j7_premium_image.jpg
Mercedes,Benz E Class,E 300 e,PHEV,313 HP @ 5500 RPM (Combined),550 Nm @ 4400 RPM (Combined),260 KM/H,115 km,50 L,700 km,-,https://cache3.pakwheels.com/system/car_generation_pictures/16843/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939198/car_database/mercedes_benz_e_class_e_300_e_image.jpg
Tank,500,PHEV,PHEV,402 HP (Combined),750 Nm (Combined),200 KM/H,120 km,70 L,950 km,-,https://cache2.pakwheels.com/system/car_generation_pictures/15376/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939199/car_database/tank_500_phev_image.jpg
BYD,Shark 6,Premium,PHEV,436 HP (Combined),650 Nm (Combined),180 KM/H,100 km,60 L,800 km,-,https://cache3.pakwheels.com/system/car_generation_pictures/16794/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939200/car_database/byd_shark_6_premium_image.jpg
BMW,X5,xDrive45e,PHEV,282 HP @ 5000 RPM (Combined),450 Nm @ 1500 RPM (Combined),250 KM/H,90 km,70 L,700 km,-,https://cache4.pakwheels.com/system/car_generation_pictures/16784/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939202/car_database/bmw_x5_xdrive45e_image.jpg
Chery,Tiggo 9,Premium PHEV AWD,PHEV,610 HP (Combined),920 Nm (Combined),180 KM/H,170 km,70 L,1400 km,-,https://cache4.pakwheels.com/system/car_generation_pictures/16870/original/Cover_%2828%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939203/car_database/chery_tiggo_9_premium_phev_awd_image.jpg
Jetour,T2,PHEV,PHEV,360 HP @ 5500 RPM (Combined),610 Nm @ 4300 RPM (Combined),180 KM/H,90 km,70 L,1100 km,-,https://cache3.pakwheels.com/system/car_generation_pictures/17372/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939204/car_database/jetour_t2_phev_image.jpg
Chery,Tiggo 8,Premium PHEV 4WD,PHEV,496 HP (Combined),735 Nm @ 4400 RPM (Combined),180 KM/H,90 km,60 L,1200 km,-,https://cache4.pakwheels.com/system/car_generation_pictures/10034/original/Cover_..jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939207/car_database/chery_tiggo_8_premium_phev_4wd_image.jpg
Chery,Tiggo 7,Premium PHEV FWD,PHEV,342 HP @ 6500 RPM (Combined),525 Nm @ 4500 RPM (Combined),180 KM/H,90 km,60 L,1200 km,-,https://cache3.pakwheels.com/system/car_generation_pictures/17058/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939208/car_database/chery_tiggo_7_premium_phev_fwd_image.jpg
Mercedes,Benz GLC,350e 4MATIC SUV,PHEV,313 HP @ 5000 RPM (Combined),406 Nm @ 1400 RPM (Combined),237 KM/H,87 km,62 L,600 km,-,https://cache1.pakwheels.com/system/car_generation_pictures/9620/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939209/car_database/mercedes_benz_glc_350e_4matic_suv_image.jpg
Deepal,S05,REEV Premium,REEV,215 HP @ 6000 RPM (Combined),340 Nm @ 4000 RPM (Combined),170 KM/H,170 km,45 L,1000 km,-,https://cache1.pakwheels.com/system/car_generation_pictures/10297/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939210/car_database/deepal_s05_reev_premium_image.jpg
Forthing,Friday,REEV Exclusive,REEV,204 HP @ 5500 RPM (Combined),340 Nm @ 4000 RPM (Combined),170 KM/H,220 km,43 L,1150 km,-,https://cache1.pakwheels.com/system/car_generation_pictures/9245/original/Cover_%2812%29.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783939211/car_database/forthing_friday_reev_exclusive_image.jpg
